RepRapFirmware height map file v2 generated at 2021-09-30 14:44, min error -0.014, max error 0.291, mean 0.107, deviation 0.074
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,10.00,290.00,20.00,180.00,-1.00,40.00,40.00,8,5
  0.216,  0.136,  0.061,  0.011, -0.014,  0.026,  0.091,  0.176
  0.206,  0.141,  0.061,  0.031,  0.016,  0.051,  0.106,  0.196
  0.186,  0.111,  0.071,  0.041,  0.031,  0.061,  0.141,  0.216
  0.171,  0.116,  0.071,  0.041,  0.036,  0.081,  0.156,  0.251
  0.176,  0.111,  0.051,  0.036,  0.046,  0.101,  0.191,  0.291
